name,state,Risk_Score,problem_statement,proof_of_capability,idea_clarity,differentiation,gtm_strategy,business_model,vagueness,credibility,staff_pick,prelaunch_activated,video_present,duration_days,prep_time_days
The Secret Time Travel Tour: Australia & New Zealand Edition,successful,0.6525138712983358,8.0,7.0,9.0,8.0,7.0,6.0,4.0,9.0,0,1,1,30.0,13.784155092592593
The Funky Frecks,successful,0.9166247199349709,8.0,7.0,9.0,8.0,7.0,6.0,3.0,9.0,0,0,0,30.041666666666668,2.0793287037037036
"Blink, Plue & Colorful You",successful,0.20940543729990546,6.0,4.0,7.0,5.0,3.0,6.0,2.0,8.0,1,1,1,30.041666666666668,13.12818287037037
How Does It Feel?,successful,0.3544232249696666,9.0,8.0,9.0,8.0,8.0,8.0,4.0,9.0,0,1,1,40.18372685185185,14.724479166666667
SYSTEMIC VOL. 1 : A Sci-fi Anthology,successful,0.14897615284952148,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,23.5,56.72863425925926
Decode Culture A Creative Tech Podcast Series,failed,9.156755424373559,8.0,7.0,9.0,8.0,7.0,6.0,3.0,9.0,0,0,0,30.0,0.07663194444444445
Moments of Grace Prayers,failed,8.203282241190044,8.0,6.0,8.0,9.0,7.0,7.0,3.0,9.0,0,0,1,30.0,0.1003587962962963
SOFIJAZZ - Debut Album,successful,0.7390468906633119,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,35.0,13.463206018518518
Doomers,successful,0.9717684903004009,2.0,3.0,4.0,3.0,2.0,2.0,6.0,5.0,0,0,0,29.041666666666668,0.04895833333333333
The Oculist,successful,0.8981640037833638,8.0,9.0,8.0,7.0,6.0,7.0,2.0,9.0,0,0,0,54.933368055555555,2.1114930555555556
ZERO TRUST ARCHITECTURE Takes on the Fringe!,successful,0.5733987915017436,8.0,6.0,9.0,7.0,7.0,6.0,2.0,8.0,0,1,0,30.0,34.94796296296296
Thugs! Digest No. 1,successful,0.5853875616850857,4.0,6.0,7.0,5.0,8.0,6.0,3.0,8.0,0,1,1,30.0,22.78383101851852
Hell Her Way #3: a mature comic book series (get 1 & 2 too),successful,0.33410913587351154,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,30.0,73.50796296296296
The Toilet Paper Wedding Dress Competition,failed,4.032615285367118,8.0,9.0,9.0,8.0,7.0,8.0,4.0,9.0,0,1,1,29.582060185185185,106.82391203703703
Spicing up Sweet Auburn Avenue. Urban Nutcracker & Season,successful,1.1623442261138628,8.0,2.0,7.0,4.0,6.0,5.0,3.0,7.0,0,0,0,37.782546296296296,16.43898148148148
CORPOREAL,successful,1.5182109387182252,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,0,0,1,20.0,5.832974537037037
Recked Productions - Up For Air,successful,0.6090684928022538,6.0,7.0,8.0,9.0,8.0,7.0,3.0,9.0,0,0,1,20.0,16.97494212962963
'Shadows of Doubt',successful,0.6936590615238403,8.0,7.0,9.0,7.0,6.0,7.0,2.0,9.0,0,0,1,30.0,7.985486111111111
LISSOME R1: The Smartest Portable Dishwasher,successful,0.4206648550126302,9.0,9.0,9.0,8.0,8.0,8.0,6.0,9.0,1,1,1,60.0,48.41178240740741
MONOKEY: one key bluetooth keyboard,successful,0.3718989924557081,6.0,7.0,8.0,9.0,8.0,7.0,2.0,9.0,0,1,1,44.79283564814815,31.317824074074075
A Bull City Holiday: Keenan's Next Swing Album!,successful,0.35893918563938754,8.0,9.0,9.0,8.0,7.0,7.0,4.0,9.0,1,0,1,22.547743055555557,31.51829861111111
Fun Finding With Logan,failed,5.816035326051128,9.0,7.0,8.0,8.0,7.0,6.0,3.0,8.0,0,0,0,20.0,0.06392361111111111
Natalie Green at The Chocolate Factory Theater,successful,0.3114918153592017,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1,0,1,18.168483796296297,19.75454861111111
Polyfold Presents: Fall 2019,successful,0.6246322658174019,8.0,7.0,9.0,8.0,7.0,6.0,3.0,9.0,1,0,1,29.510474537037037,15.967824074074073
Ready for an adventure: a diverse and magical story,successful,0.31563405510510845,8.0,8.0,9.0,8.0,7.0,8.0,6.0,9.0,1,1,1,30.041666666666668,109.0321875
Blue Bunny-Childrenâs Book on Grief,successful,0.7713390292311739,6.0,4.0,7.0,5.0,3.0,6.0,8.0,7.0,0,0,0,34.64038194444444,0.8153125
Letters from Santa Claus,successful,0.28290878264206065,8.0,9.0,9.0,9.0,8.0,8.0,5.0,9.0,0,1,1,30.0,41.17868055555556
B-Mecha Babe In Colour,successful,0.20634728787187417,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,14.0,22.374444444444446
FUNeral Home: a 30 Page One-Shot Comic,successful,0.1909439854345052,4.0,2.0,6.0,3.0,2.0,3.0,8.0,5.0,1,1,0,27.03667824074074,18.006805555555555
"Phase 1: Securing our Trademarks, website & legal filings.",failed,9.737619524457969,8.0,7.0,9.0,8.0,6.0,7.0,4.0,8.0,0,0,0,30.0,0.21121527777777777
Robera: World's First AI-powered Visual Guidance Golf Cart,successful,0.19712908942589813,8.0,9.0,7.0,8.0,6.0,5.0,3.0,8.0,1,1,1,30.0,43.46204861111111
SBDNY 2013 NYC Season,successful,0.8564164637522986,4.0,3.0,6.0,5.0,3.0,4.0,2.0,7.0,0,0,1,58.002916666666664,5.607106481481481
Epic Adventures: 600+ Rpg Maps for Every Campaign,successful,0.9037908657920934,8.0,8.0,9.0,8.0,7.0,8.0,2.0,9.0,0,0,0,8.133032407407407,0.7842708333333334
NIPPY #1 - 3 - the spicy ice queen parody!,successful,0.1910790601329504,2.0,8.0,9.0,6.0,4.0,5.0,3.0,7.0,1,1,1,17.500046296296297,55.86340277777778
Pizza Gialla - Un fumetto game GIALLO a tema Pizza,successful,0.42588319943678177,8.0,6.0,7.0,8.0,7.0,6.0,3.0,8.0,0,1,1,20.0,36.17958333333333
Eternal Reign #1,successful,1.5420083640741866,4.0,3.0,6.0,7.0,5.0,3.0,2.0,8.0,0,1,0,30.0,2518.4934143518517
GRAVESHIFT GIRLS: HALLOWEEN PARTY PIN UPS,successful,0.23005930266889574,8.0,8.0,9.0,9.0,8.0,7.0,4.0,9.0,0,1,0,10.609143518518518,42.241284722222225
Mankato,failed,9.386422134464942,5.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,0,0,1,30.0,5.912604166666667
Dance/Poem: Survive & Rescue,successful,0.7611049414047966,6.0,7.0,8.0,9.0,8.0,7.0,2.0,9.0,0,0,0,30.0,32.366851851851855
Liz Tenuto and Family: Dance Show,successful,0.4464030730169166,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,0,0,1,20.0,42.29576388888889
â*Smoke NOT INCLUDEDâ A One Act Play,successful,0.9304158243241301,4.0,3.0,6.0,5.0,3.0,4.0,2.0,7.0,0,0,0,40.0,6.625682870370371
The Gin Chronicles,successful,0.9411488988208905,8.0,7.0,9.0,8.0,6.0,7.0,3.0,9.0,0,0,1,60.0,20.877083333333335
ð The Forbidden Five â Sensual STL Collection Vol. IIIð,successful,0.3025798301070093,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,0,20.041666666666668,4.943530092592592
Chronicles of Crime: Beyond Doubt,successful,0.6286035088851682,8.0,7.0,9.0,6.0,5.0,4.0,3.0,8.0,0,1,1,21.4165625,62.29856481481482
Dogs Anatomy Vol 1,successful,1.4250774672633126,4.0,6.0,7.0,5.0,3.0,6.0,2.0,8.0,0,1,0,7.0,59.81390046296296
Obamalogue,successful,1.0405675006950943,4.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,0,0,1,59.958333333333336,28.425613425925928
A BRAND NEW FULL LENGTH ALBUM,successful,1.820567599513867,5.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,0,0,1,60.0,4.969247685185185
Savvy Tonarino: the 4th CD of Tony Savarinoâs Guitar Trilogy,successful,0.8115659855661272,8.0,6.0,7.0,5.0,6.0,7.0,4.0,9.0,0,0,1,59.958333333333336,69.77739583333333
Kingdom Horror,failed,8.48670388700777,6.0,4.0,7.0,8.0,5.0,6.0,3.0,5.0,0,1,1,59.958333333333336,48.00114583333333
Zenescope's Grimm Fairy Tales Chapter 2: Fall of Realms,successful,0.13181286524656444,4.0,6.0,8.0,7.0,8.0,7.0,2.0,9.0,1,1,1,9.957083333333333,19.85037037037037
CRUSH: Revolutionize Your Memory with One Click,successful,0.7154551935450315,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,30.0,13.380995370370371
"My Best Friend, in print: Custom Pet Figures",successful,4.004778879212454,8.0,7.0,9.0,8.0,7.0,8.0,5.0,9.0,0,0,0,15.0,1.9828125
Flying Fortresses: B-17 Missions Over Europe,successful,0.3476653485496939,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,16.24533564814815,16.679826388888888
Perrin Pang - Here Lies at the Edinburgh Fringe,successful,3.287571043493358,4.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,0,0,1,55.37494212962963,12.970543981481482
I've Heard That Song Before,successful,0.8113609242776432,4.0,5.0,6.0,7.0,5.0,3.0,2.0,7.0,0,0,1,27.534293981481483,66.62332175925926
New Music by The Matt Skellenger Group!,successful,0.705345011058166,4.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,1,0,1,30.0,1.969675925925926
Sanctuary Sounds: Healing Through the Power of Sound,failed,9.18043682373032,9.0,8.0,9.0,8.0,8.0,7.0,2.0,9.0,0,0,1,59.958333333333336,1.3004976851851853
The FN Gameshow - By Football Nation,failed,7.304613408044567,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,31.56548611111111,24.67853009259259
When I Feel Rejected...,successful,0.5036482921315599,9.0,8.0,9.0,8.0,7.0,6.0,2.0,8.0,0,1,1,30.0,12.649675925925926
FiiTii S: Elevate Your Sleep and Meditation Experience,successful,0.6770448737516654,8.0,9.0,9.0,8.0,8.0,7.0,4.0,9.0,0,1,1,45.0,28.257685185185185
Hot Boys Bathhouse,successful,0.6655827039073647,4.0,2.0,6.0,7.0,3.0,3.0,8.0,4.0,0,0,0,27.870462962962964,1.8320138888888888
The Dread Army,successful,0.2333494610776099,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,26.580347222222223,408.8112962962963
LAPOMPE's New Studio Album,successful,0.7001984800916738,8.0,7.0,9.0,8.0,6.0,7.0,4.0,9.0,0,0,1,30.163611111111113,14.01304398148148
DISCONNECT,successful,0.7501050483804594,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,44.958333333333336,9.908726851851851
Dreaming Life Presented by:   Point Your Damn Toes Dance Co.,successful,0.5098377254634923,4.0,6.0,7.0,8.0,5.0,3.0,8.0,7.0,0,0,1,29.958333333333332,46.11737268518519
Angela and Akela's Aerial Dreams,successful,1.7448769006895237,2.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0,0,1,29.958333333333332,2.5619328703703705
THE F.U. PREVIEWS + FLAWLESS #ROYAL BY STEVE STREETMAN,successful,0.2434644012438525,4.0,5.0,6.0,3.0,4.0,5.0,2.0,8.0,0,1,0,24.30605324074074,6.6945601851851855
Long Distance: The Travel Miles Club Edition,successful,0.23375071355041244,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.0,6.979502314814815
Goodnight Audit Children's Book,successful,0.2809689940570015,6.0,6.0,7.0,7.0,6.0,6.0,4.0,8.0,1,1,0,30.0,100.76381944444445
This Kid Can Hyperfocus,successful,0.20791136606318372,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.0,129.8946875
"""Why Am I Here? A Child's Book About Purpose""",successful,0.2117693020993361,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,29.0,95.54596064814815
The Still Sexy Experience!,failed,9.695352594577223,8.0,7.0,9.0,8.0,6.0,5.0,4.0,8.0,0,0,0,60.0,0.050138888888888886
Luxe Casino,failed,9.71736162606329,6.0,6.0,7.0,5.0,7.0,6.0,4.0,7.0,0,0,1,60.0,0.1302662037037037
Vindaâ¢: Reel in the Future,successful,3.787218848068626,9.0,8.0,8.0,8.0,7.0,7.0,4.0,9.0,0,1,1,30.0,77.19392361111112
MT. LOGAN: Worldâs First Quick-SNAP All-in-One Tool,successful,0.5267139534066323,8.0,7.0,9.0,8.0,8.0,7.0,2.0,9.0,0,1,1,45.0,239.23422453703705
NV001: Night vision camera with built-in tactical flashlight,successful,0.6577552894282801,8.0,9.0,9.0,8.0,8.0,8.0,6.0,8.0,0,1,1,30.0,38.233136574074074
Boxo Blox - A New Twist on Block Stacking Fun,successful,0.21123432023939737,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,21.459652777777777,715.7115277777777
Possibly Cool Dice Towers 4,successful,0.22488519748317226,8.0,8.0,9.0,8.0,8.0,7.0,2.0,9.0,0,1,0,17.0,100.94357638888889
Halloween 3D Printable Mill Dice Tower & Ghost Dice Launcher,successful,1.2386179134524167,8.0,9.0,8.0,7.0,8.0,9.0,6.0,9.0,0,1,0,14.788263888888888,4.501620370370371
Running On Empty,successful,0.5871531047820089,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,0,1,1,21.0,16.952083333333334
Spin Cycle Theater: Duranged,successful,1.0531183477732708,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,30.0,11.709953703703704
Creative New Voices in Figure Skating at Rockefeller Center,successful,0.8732619842412859,4.0,2.0,6.0,7.0,3.0,5.0,2.0,8.0,0,0,1,29.958333333333332,17.445393518518518
Western Michigan University BFA Dance Seniors Final Projects,successful,1.339133438864737,4.0,2.0,5.0,3.0,3.0,2.0,4.0,6.0,0,0,1,29.958333333333332,40.72099537037037
Thorium: Sci-Fi and Fantasy Collide in an Epic Comic,successful,0.4406427016579495,6.0,8.0,9.0,7.0,6.0,5.0,8.0,8.0,0,1,1,32.0,188.0314351851852
NUT: The Pitfalls of a Cardboard Mortgage,successful,0.6985078183227944,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,0,0,1,34.59865740740741,7.9180324074074075
BitGrip Pro,successful,0.9338873051087093,9.0,8.0,8.0,7.0,7.0,8.0,4.0,9.0,0,0,1,45.0,6.183113425925926
"Midsummer Night: A Game of Partners, Paths, & Fairy Potions",successful,0.1879565323105281,8.0,7.0,9.0,8.0,7.0,6.0,3.0,9.0,0,1,1,22.35328703703704,221.87262731481482
Eldritch Elegance | A 3D Printable Dice Box,successful,0.29054793379649113,8.0,7.0,9.0,8.0,6.0,7.0,4.0,8.0,0,1,0,15.0,299.7892824074074
Clubhouse - Phoenix Rising!,successful,0.7959584861102476,9.0,8.0,8.0,7.0,7.0,8.0,4.0,9.0,0,1,1,41.874467592592595,11.227349537037037
Caustic Live,successful,0.6651986916201158,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,35.0,7.970185185185185
The Passion Of Octavius Catto,successful,0.9995740932743491,8.0,7.0,9.0,8.0,7.0,6.0,3.0,9.0,0,0,1,29.91521990740741,12.224745370370371
Musicians of the Sun,successful,0.714266307927206,8.0,7.0,9.0,8.0,6.0,7.0,3.0,9.0,0,0,0,28.945405092592594,2.0125694444444444
TRAPPED,successful,0.8423677403426044,5.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,0,0,1,29.958333333333332,12.044594907407408
Crimson Bay #1 - martial arts comic inspired by 90s VGs,successful,0.37316372524561103,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,30.0,108.12487268518518
Who Got Dat Shi On?,failed,9.390501883788541,8.0,7.0,9.0,8.0,7.0,6.0,4.0,9.0,0,0,1,30.041666666666668,7.0674421296296295
MeetMesa: World's First Entertaining MiniBar with AC,successful,0.44561400286600716,8.0,9.0,9.0,8.0,8.0,7.0,4.0,9.0,0,1,1,30.0,38.301504629629626
XTape1: A Modular Digital Laser Tape for Creativity,successful,0.7956448341957378,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,40.0,272.41164351851853
2-in-1 Compact Hybrid Power Screwdriver: H500+,successful,0.20389157181434858,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,45.0,201.1791550925926
4URPC: All-in-One Monitor Stand & USB-C Docking Station,successful,0.29151238256960865,9.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,0,1,1,30.0,48.976145833333334
Gauntlet Runner | 5e Turned Hardcore,successful,0.1749543628392225,8.0,9.0,7.0,6.0,8.0,5.0,4.0,9.0,1,1,1,30.24996527777778,235.87130787037037
Funny BÅnz,successful,1.9031177363923568,8.0,7.0,9.0,8.0,7.0,8.0,4.0,9.0,0,0,1,45.041666666666664,17.07984953703704
The Kill Show Presents: Giggles & Gore - Virtual Experience,successful,2.330641484010225,8.0,8.0,9.0,8.0,9.0,8.0,2.0,9.0,0,1,1,36.142604166666665,2.8465046296296297
Monjas: La CongregaciÃ³n de la Rodilla Ensangrentada,successful,3.8241976895305987,8.0,7.0,6.0,8.0,7.0,6.0,4.0,8.0,0,0,1,23.0,3.995949074074074
SOPHOMORE COMEDY TOUR,successful,0.7617013271925654,8.0,7.0,9.0,8.0,7.0,8.0,3.0,8.0,0,0,1,30.0,0.8663888888888889
Pachamama - Mother World,successful,0.40949787169702767,4.0,2.0,6.0,7.0,3.0,3.0,8.0,5.0,1,0,1,30.895868055555557,82.0037037037037
Limitless: Transforming Lives by Conquering Fears,failed,9.609307476650008,8.0,2.0,8.0,6.0,7.0,6.0,3.0,8.0,0,0,1,30.0,0.4490162037037037
Don't Let Me Finish #1-2,successful,0.31387727835427204,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,30.0,70.09380787037037
WhiteOwl 1 - 3 'Merc With a Heart',successful,0.6744544703967237,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,30.0,127.85553240740741
BRIDES OF DRACULA #1-2: A Vampire Series,successful,0.28028511635702524,8.0,7.0,9.0,7.0,6.0,8.0,4.0,9.0,0,1,1,14.0,14.7946875
"The Chadwick, motorized fingernail cleaner",successful,1.4504565383627288,8.0,9.0,9.0,8.0,8.0,8.0,4.0,9.0,0,0,1,60.0,294.77802083333336
Snuggle Muffinsâ¢,successful,0.3560319720058147,6.0,4.0,7.0,5.0,6.0,7.0,3.0,8.0,1,1,1,30.0,154.65831018518517
LionessE The Book,successful,0.18361508597264597,8.0,7.0,9.0,8.0,6.0,7.0,4.0,9.0,1,1,1,30.0,19.850219907407407
Union Comedy is Building Boston's Newest Comedy Theater,successful,0.390985853784499,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,45.0,520.9773842592592
Tumours: a one-woman dark comedy by Ashleigh Laurence,successful,0.39428439842464247,8.0,7.0,9.0,8.0,6.0,5.0,3.0,9.0,1,0,1,23.389293981481483,29.732280092592593
Bobby & Amy - Edinburgh Fringe 2019,successful,0.46922308967068727,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,31.181087962962962,0.5333680555555556
Soy and the Boys- Seven Teenagers Creating A Jazz Album,successful,0.584668843119841,5.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,0,0,1,14.96755787037037,2.061840277777778
A Day in the Life,failed,8.854014680740166,8.0,9.0,9.0,8.0,7.0,8.0,2.0,9.0,0,1,1,45.0,21.0265625
ENSOM  // A DANCE FILM,successful,0.4315118939731999,6.0,7.0,8.0,9.0,8.0,7.0,4.0,9.0,1,0,1,30.0,11.794618055555556
GeoDrops: Watering made easy for every garden,successful,0.5995701890375194,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,30.0,100.98903935185186
Bicycle Serenity Playing Cards,successful,0.3037950028962777,8.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,0,1,0,6.916655092592593,38.80840277777778
Shattered heads to Edinburgh Fringe!,successful,0.5965372991993345,8.0,6.0,9.0,7.0,5.0,6.0,3.0,9.0,0,0,1,21.253113425925925,24.86451388888889
Art and Cats Castle,failed,5.5928156820953445,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,52.0,8.256539351851853
Jim Piela Group album,successful,1.113587905199287,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0,1,43.34008101851852,2.1581828703703705
"Danii Roundtree: Marketing, Merch, & More for ""Memoirs""",successful,0.6922649531159786,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,29.63259259259259,106.91917824074073
Project: Invasion,successful,0.5241945013372096,6.0,3.0,7.0,5.0,4.0,6.0,8.0,4.0,0,0,1,23.254780092592593,11.720532407407408
BANG! presented by: Rogue Dance Co.,successful,0.5732677432925137,8.0,9.0,9.0,8.0,7.0,7.0,2.0,9.0,0,0,1,30.0,43.037395833333335
Shauna Dever Dance Going To New York!,successful,0.727947969128343,4.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,0,0,1,31.0,6.875462962962963
Wooask TransBuds A8: Translator Earbuds Powered by ChatGPT.,successful,0.8205508301339781,9.0,8.0,8.0,8.0,8.0,7.0,6.0,9.0,0,1,1,45.0,55.249016203703704
[Bluefeel] Sound-Pop-Holder,successful,0.2932513429458605,9.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,0,1,1,40.0,34.1159837962963
I'm a Dyslexic Superhero (Children's book),successful,0.26420539645983454,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.011400462962964,16.95114583333333
Gary Gygax Memorial Game Table for Dungeons & Dragons Fans,successful,0.7018093878525611,8.0,9.0,8.0,7.0,6.0,8.0,4.0,8.0,0,1,1,30.0,547.5963541666666
The Lashes: Return of the Lash,successful,0.7378231763481402,2.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,0,0,1,60.0,22.13574074074074
Survived? - Game Show,failed,9.263295574322703,8.0,6.0,8.0,7.0,7.0,7.0,3.0,8.0,0,0,1,30.0,32.609710648148145
A SHOUT IN SILENCE,failed,9.430032453549472,4.0,2.0,6.0,3.0,5.0,3.0,8.0,6.0,0,0,0,30.0,0.26741898148148147
Soma City #1-2,successful,0.21905713541421457,8.0,7.0,9.0,8.0,7.0,6.0,4.0,8.0,1,1,0,13.999247685185185,351.7871759259259
Hiro Doggie: Space Corgi,successful,0.40659687739185935,2.0,3.0,4.0,3.0,2.0,3.0,7.0,6.0,0,1,1,31.991631944444446,48.13670138888889
Dean Scarlett's Debut Big Band Record,successful,0.6601879688878731,8.0,7.0,9.0,6.0,6.0,5.0,4.0,8.0,0,0,1,31.0,4.8238310185185185
Pivistation 5 - Your All-in-one Raspberry Pi 5 Camera Kit,successful,0.3667663408787891,8.0,9.0,8.0,8.0,8.0,8.0,6.0,9.0,1,1,1,30.0,53.01631944444444
Roald Off The Tongue,successful,0.37659882106063636,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,28.0,7.2336226851851855
2 HEARTS - a lovely counting book,successful,0.3923486933398257,8.0,6.0,8.0,7.0,7.0,7.0,4.0,9.0,1,0,1,30.0,83.0578587962963
Bonnie's Last Flight,successful,0.31703373742962837,6.0,7.0,8.0,9.0,8.0,7.0,4.0,9.0,1,0,1,23.52309027777778,18.885844907407407
Cosmic Force: An Origin Story,failed,8.888788063122615,2.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,0,0,1,60.0,119.5425
Safos Dance Theatre Needs Funds for Stage & Costumes,successful,1.2281433456114887,6.0,7.0,8.0,9.0,8.0,7.0,4.0,9.0,0,0,1,30.0,24.22829861111111
Alice On Ice,successful,0.6849333675237335,6.0,4.0,7.0,5.0,6.0,3.0,8.0,4.0,0,0,1,30.0,218.47251157407408
Take Root,successful,0.7156467288688484,8.0,6.0,7.0,5.0,6.0,7.0,4.0,9.0,0,0,1,30.0,4.315555555555555
Your Way - The CRQ (Candice Reyes Quintet),successful,0.8826089272492776,4.0,5.0,7.0,6.0,3.0,3.0,2.0,8.0,0,0,1,31.0,143.7599074074074
Help me record my FIRST EP for my BIRTHDAY!!,successful,2.668891941429555,5.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,0,0,1,30.0,396.0436226851852
Be a part of getting Big Sky Trio's music to you!,successful,0.8646846228793381,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,0,0,1,30.0,10.922546296296296
Waxes and Wanes,successful,1.7067070853667188,8.0,8.0,9.0,7.0,6.0,6.0,3.0,9.0,0,0,0,30.0,132.94234953703705
Cleo's Castle,successful,2.1728799552687073,5.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,0,0,1,28.87068287037037,66.1425
Eat God,successful,0.45468285528550756,8.0,9.0,8.0,9.0,7.0,8.0,6.0,9.0,0,1,0,31.0,42.06790509259259
VOIDSEA - Eldritch High Seas 5e D&D Supplement,successful,0.20133716273124214,8.0,9.0,9.0,8.0,7.0,8.0,6.0,8.0,1,1,1,29.790694444444444,229.98269675925926
Lost Moon Radio,successful,1.0795914445657784,6.0,8.0,9.0,7.0,5.0,6.0,4.0,7.0,0,0,1,33.37837962962963,8.516354166666666
By Man & Angels - A Sci-Fi Fairytale,successful,0.13089680185753072,8.0,8.0,9.0,8.0,7.0,7.0,2.0,9.0,1,1,0,27.041064814814813,15.032708333333334
Con Artists: Issue 6,successful,0.29624865574984893,6.0,5.0,7.0,8.0,8.0,7.0,3.0,9.0,0,1,1,28.95508101851852,49.25402777777778
V: The BAAL CYCLE Continued (BOOK 1),successful,0.3539863408229105,8.0,8.0,9.0,7.0,7.0,6.0,4.0,8.0,0,1,0,30.020752314814814,158.43328703703705
Practice Improvising -Method Book for Bb Players.,successful,1.492988198107288,8.0,6.0,9.0,7.0,8.0,7.0,3.0,9.0,0,0,0,40.0,3.5546296296296296
AXIOM,successful,0.3248691227438216,6.0,5.0,7.0,8.0,6.0,4.0,3.0,8.0,1,0,1,30.041666666666668,18.929016203703704
Seattle or Bust!  Send Gypsy Horizon to Cues & Tattoos 2013,successful,0.5498866614876796,8.0,6.0,7.0,5.0,6.0,7.0,3.0,8.0,0,0,1,29.487349537037037,42.068078703703705
"""Eggie's Adventures at Poe Cottage"" A Picture Book",successful,0.31673802655418304,6.0,7.0,8.0,9.0,8.0,7.0,2.0,9.0,1,0,1,30.0,39.65486111111111
Don't Go to Monster Island!,successful,0.37110508953937305,8.0,7.0,9.0,9.0,7.0,8.0,2.0,9.0,0,1,1,30.0,22.149895833333332
Help Witt 'n Camp to the Edinburgh Fringe!,successful,0.6433553950323612,8.0,7.0,9.0,6.0,5.0,7.0,3.0,9.0,0,0,1,30.0,16.548182870370372
"The Taming of the Shrew at St. Columba's, Inverness!",successful,0.708200758005938,6.0,4.0,7.0,5.0,3.0,6.0,8.0,8.0,0,0,1,30.0,0.8947337962962963
PocketParks: The US National Parks Card Game,successful,0.17200074134004373,8.0,7.0,9.0,8.0,6.0,7.0,4.0,8.0,1,1,1,30.66583333333333,282.74226851851853
Welcome to Haddonfield,failed,7.467960102074729,9.0,8.0,8.0,7.0,7.0,6.0,5.0,8.0,0,0,0,29.73662037037037,0.25707175925925924
Mycoremediation Course Project,failed,4.620098300816526,9.0,8.0,8.0,7.0,8.0,7.0,4.0,9.0,0,1,1,30.36162037037037,24.643703703703704
Dark Side: The Return of Kol Kob 2,successful,0.5095431886840562,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1,30.724872685185186,2.721724537037037
BBQAMIGO Your best friend at the BBQ,successful,0.2558768373080622,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,1,30.0,35.75548611111111
Before Dawn: intuitive jazz: original hand printed covers!,successful,1.1846486141275647,4.0,2.0,6.0,7.0,3.0,5.0,2.0,8.0,0,0,1,11.845601851851852,1.28625
